-14.981,-0.76240
-13.919,-0.75087
-12.963,-0.72318
-12.007,-0.68627
-10.945,-0.65398
-9.9353,-0.62168
-8.9525,-0.58478
-7.9695,-0.53172
-6.9866,-0.48558
-5.9768,-0.41869
-4.9671,-0.35409
-3.9838,-0.28028
-2.9742,-0.22030
-2.0177,-0.16494
-1.0077,-0.081892
-0.051138,-0.017301
0.95851,0.042676
2.0216,0.13033
3.0047,0.18800
4.0144,0.25029
4.9976,0.31719
6.0074,0.39331
7.0438,0.47174
8.0270,0.53633
9.0366,0.58939
10.046,0.63091
11.055,0.67243
12.065,0.70934
13.021,0.74394
14.057,0.76701
15.039,0.78547
16.022,0.81776
17.031,0.82468
18.040,0.81776
18.995,0.80854
20.004,0.79008
21.013,0.78085
21.995,0.80392
23.004,0.81315
23.987,0.82699
24.996,0.84544
