-9.0851,-0.47777
-8.0645,-0.41361
-7.0440,-0.35587
-6.0236,-0.30133
-5.0332,-0.25160
-4.0428,-0.19867
-3.0225,-0.14734
-2.0021,-0.096013
-0.98178,-0.047892
-0.021492,-0.0029789
0.99877,0.041934
2.0192,0.094867
3.0096,0.15101
4.0299,0.19913
5.0203,0.25046
6.0408,0.30820
7.0613,0.36595
8.0819,0.43332
9.0725,0.49748
10.063,0.55202
11.083,0.59693
12.103,0.63543
13.123,0.67071
14.144,0.70921
15.104,0.73488
16.124,0.76856
17.144,0.79904
18.133,0.81508
19.123,0.81347
20.143,0.83433
21.102,0.80866
22.121,0.79583
23.141,0.79262
24.130,0.79262
25.120,0.79262
26.139,0.79262
27.129,0.79904
28.148,0.80225
29.138,0.80706
30.127,0.80706
31.147,0.80545
32.137,0.81829
33.156,0.81187
34.145,0.80385
35.135,0.80385
36.154,0.79904
37.143,0.77337
38.133,0.77819
39.152,0.77016
40.142,0.76375
